Part Number,,Cond,Qty In Stock,UM,Description,,W/H,Serial No.,,Reserved Qty,,,
002107-01,,AR,1,EA,PLATE-INTEGRALLY LIGHTED,,Airbus,870,,0,,,
005-RL-03,,AR,1,EA,BOX RELAY,,Airbus,2690,,0,,,
0050N1,,SV,1,EA,STICK SHAKER ACTUATOR,,Embraer,4009,,0,,,
0711480-003,,AR,1,EA,"VALVE, SHUTOFF",,Airbus,784,,0,,,
0050N1,,SV,1,EA,STICK SHAKER ACTUATOR,,Embraer,3899,,0,,,
0861ED,,AR,1,EA,AOA SENSOR,,Airbus,0861ED-835,,0,,,
005-RL-03,,SV,1,EA,BOX RELAY,,Airbus,2525,,0,,,
10087-0101,,AR,1,EA,INDICATOR - MULTITANK,,Airbus,102,,0,,,
10088-0101,,AR,1,EA,PRESELECTOR,,Airbus,382,,0,,,
100923-1,,AR,1,EA,"SENSOR,  TEMP",,Airbus,890016,,0,,,
10-1092-01,,AR,1,EA,FIRE/OVERHEAT DETECTOR,,Airbus,03-0048,,0,,,
1070B0000-04,,AR,1,EA,ACTUATOR - FLAP,,Airbus,T088,,0,,,
1071B0000-04,,AR,1,EA,ACTUATOR - FLAP,,Airbus,T088,,0,,,
1072A0000-04,,AR,1,EA,FLAP ROTARY ACTUATOR # 2,,Airbus,T169,,0,,,
1072A0000-04,,AR,1,EA,FLAP ROTARY ACTUATOR # 2,,Airbus,T170,,0,,,
1073A0000-04,,AR,1,EA,ACTUATOR - FLAP ROTARY #3,,Airbus,T167,,0,,,
1074C0000-01,,AR,1,EA,ACTUATOR - FLAP ROTARY #4,,Airbus,1074C00GA050115,,0,,,
1074C0000-01,,AR,1,EA,ACTUATOR - FLAP ROTARY #4,,Airbus,1074C00GA050092,,0,,,
1091A0000-01,,AR,1,EA,WATER INJECTOR,,Airbus,2101,,0,,,
1091A0000-01,,AR,1,EA,WATER INJECTOR,,Airbus,2109,,0,,,
10A348-350-450,,AR,1,EA,CONNECTOR,,Airbus,N/A,,0,,,
114079015,,AR,1,EA,"VALVE - SELECTOR, GEAR",,Airbus,CWDD/DRG 110/91,,0,,,
114079016,,AR,1,EA,"VALVE - SELECTOR, DOOR",,Airbus,DH-2036-06,,0,,,
114080003,,AR,1,EA,"BLOCK MANIFOLD, HYD",,Airbus,CWDD/DRG 83/91,,0,,,
114083003,,AR,1,EA,VENT VALVE,,Airbus,CWDD-DH46-94,,0,,,
114083003,,AR,1,EA,VENT VALVE,,Airbus,CWDD-DH44-94,,0,,,
114083003,,AR,1,EA,VENT VALVE,,Airbus,CWDD-DH24-98,,0,,,
114083003,,AR,1,EA,VENT VALVE,,Airbus,CWDD-DH290-98,,0,,,
114087005,,AR,1,EA,DOOR BYPASS VALVE,,Airbus,DH-0266-02,,0,,,
114087006,,AR,1,EA,DOOR BYPASS VALVE,,Airbus,CWDD-DH133-94,,0,,,
114087006,,AR,1,EA,DOOR BYPASS VALVE,,Airbus,CWDD-DH270-92,,0,,,
114193007,,AR,1,EA,RETRACTION ACTUATOR,,Airbus,B1368,,0,,,
114193007,,AR,1,EA,RETRACTION ACTUATOR,,Airbus,B1369,,0,,,
1142301-130-01,,AR,1,EA,ENTERTAINMENT CONTROLLER,,Airbus,4040037,,0,,,
1151324-1M563,,AR,1,EA,PORTABLE ELT,,Airbus,109C-2714,,0,,,
1158000-21,,AR,1,EA,VALVE REFUEL,,Airbus,8030507,,0,,,
1158000-21,,AR,1,EA,VALVE REFUEL,,Airbus,FRTR209AY,,0,,,
1158000-21,,AR,1,EA,VALVE REFUEL,,Airbus,10030847,,0,,,
1158000-21,,AR,1,EA,VALVE REFUEL,,Airbus,FRTR.115/AP,,0,,,
1158000-21,,AR,1,EA,VALVE REFUEL,,Airbus,FRTR.114/AP,,0,,,
1191018,,AR,1,EA,ELECT CONTROL PANEL ASSY,,Airbus,11,,0,,,
122648,,AR,1,EA,"WAVE GUIDE, RADAR",,Airbus,N/A,,0,,,
12664,,AR,1,EA,RAM AIR CHECK VALVE,,Airbus,314674,,0,,,
12664,,AR,1,EA,RAM AIR CHECK VALVE,,Airbus,266408,,0,,,
12664,,AR,1,EA,RAM AIR CHECK VALVE,,Airbus,115056,,0,,,
