Part Number;Description;Category;Qty In Stock;UM;Cond
002107-01;PLATE-INTEGRALLY LIGHTED;A319;1;EA;AR
0050N1;STICK SHAKER ACTUATOR;Embraer 190;1;EA;SV
0050N1;STICK SHAKER ACTUATOR;Embraer 190;1;EA;AR
0050N1;STICK SHAKER ACTUATOR;Embraer 190;1;EA;SV
0050N1;STICK SHAKER ACTUATOR;Embraer 190;1;EA;AR
005-RL-03;BOX RELAY;;1;EA;SV
005-RL-03;BOX RELAY;;1;EA;AR
005-RL-03;BOX RELAY;;1;EA;AR
005-RL-03;BOX RELAY;;1;EA;AR
005-RL-03;BOX RELAY;;1;EA;AR
01-0770544-00;CREW CALL HORN;;1;EA;AR
01-0770544-01;HORN ASSY, GROUND CREW CALL;Embraer 190;1;EA;AR
01-0770544-01;HORN ASSY, GROUND CREW CALL;Embraer 190;1;EA;AR
01930-007;WASTE TANK;B737;1;EA;AR
020-240-003;FUEL QUANTITY PROBE (E175 TU5) (E190 TU6);Embraer 190;1;EA;AR
020-240-003;FUEL QUANTITY PROBE (E175 TU5) (E190 TU6);Embraer 190;1;EA;AR
020-240-003;FUEL QUANTITY PROBE (E175 TU5) (E190 TU6);Embraer 190;1;EA;AR
020-240-003;FUEL QUANTITY PROBE (E175 TU5) (E190 TU6);Embraer 190;1;EA;AR
020-240-004;FUEL QUANTITY PROBE (E175 TU6) (E190 TU8);Embraer 190;1;EA;AR
020-240-004;FUEL QUANTITY PROBE (E175 TU6) (E190 TU8);Embraer 190;1;EA;AR
020-240-004;FUEL QUANTITY PROBE (E175 TU6) (E190 TU8);Embraer 190;1;EA;AR
020-240-004;FUEL QUANTITY PROBE (E175 TU6) (E190 TU8);Embraer 190;1;EA;AR
020-240-005;FUEL QUANTITY PROBE (E175 TU7) (E190 TU9);Embraer 190;1;EA;AR
020-240-005;FUEL QUANTITY PROBE (E175 TU7) (E190 TU9);Embraer 190;1;EA;AR
020-240-005;FUEL QUANTITY PROBE (E175 TU7) (E190 TU9);Embraer 190;1;EA;AR
020-240-005;FUEL QUANTITY PROBE (E175 TU7) (E190 TU9);Embraer 190;1;EA;AR
020-240-006;FUEL QUANTITY PROBE (E175 TU8) (E190 TU10);Embraer 190;1;EA;AR
020-240-006;FUEL QUANTITY PROBE (E175 TU8) (E190 TU10);Embraer 190;1;EA;AR
020-240-006;FUEL QUANTITY PROBE (E175 TU8) (E190 TU10);Embraer 190;1;EA;AR
020-240-006;FUEL QUANTITY PROBE (E175 TU8) (E190 TU10);Embraer 190;1;EA;AR
020-240-007;FUEL QUANTITY PROBE (E175 TU10) (E190 TU11);Embraer 190;1;EA;AR
020-240-007;FUEL QUANTITY PROBE (E175 TU10) (E190 TU11);Embraer 190;1;EA;AR
020-240-007;FUEL QUANTITY PROBE (E175 TU10) (E190 TU11);Embraer 190;1;EA;AR
020-240-007;FUEL QUANTITY PROBE (E175 TU10) (E190 TU11);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-008;FUEL QUANTITY PROBE (E175 TU11) (E190 TU12,14&15);Embraer 190;1;EA;AR
020-240-009;FUEL QUANTITY PROBE (E175 TU12&13) (E190 TU16&17);Embraer 190;1;EA;AR
020-240-009;FUEL QUANTITY PROBE (E175 TU12&13) (E190 TU16&17);Embraer 190;1;EA;AR
020-240-009;FUEL QUANTITY PROBE (E175 TU12&13) (E190 TU16&17);Embraer 190;1;EA;AR
020-240-009;FUEL QUANTITY PROBE (E175 TU12&13) (E190 TU16&17);Embraer 190;1;EA;AR
020-240-009;FUEL QUANTITY PROBE (E175 TU12&13) (E190 TU16&17);Embraer 190;1;EA;AR
020-240-009;FUEL QUANTITY PROBE (E175 TU12&13) (E190 TU16&17);Embraer 190;1;EA;AR
020-240-009;FUEL QUANTITY PROBE (E175 TU12&13) (E190 TU16&17);Embraer 190;1;EA;AR
020-240-009;FUEL QUANTITY PROBE (E175 TU12&13) (E190 TU16&17);Embraer 190;1;EA;AR
020-240-011;FUEL QUANTITY PROBE (E175 TU4);Embraer 190;1;EA;AR
020-240-011;FUEL QUANTITY PROBE (E175 TU4);Embraer 190;1;EA;AR
020-240-011;FUEL QUANTITY PROBE (E175 TU4);Embraer 190;1;EA;AR
020-240-011;FUEL QUANTITY PROBE (E175 TU4);Embraer 190;1;EA;AR
020-240-012;PROBE-FUEL QUANTITY (E190 TU5);Embraer 190;1;EA;AR
020-240-012;PROBE-FUEL QUANTITY (E190 TU5);Embraer 190;1;EA;AR
020-240-012;PROBE-FUEL QUANTITY (E190 TU5);Embraer 190;1;EA;AR
020-240-012;PROBE-FUEL QUANTITY (E190 TU5);Embraer 190;1;EA;AR
020-240-013;PROBE-FUEL QUANTITY (E190 TU7);Embraer 190;1;EA;AR
020-240-013;PROBE-FUEL QUANTITY (E190 TU7);Embraer 190;1;EA;AR
020-240-013;PROBE-FUEL QUANTITY (E190 TU7);Embraer 190;1;EA;AR
020-240-013;PROBE-FUEL QUANTITY (E190 TU7);Embraer 190;1;EA;AR
020-240-014;FUEL QUANTITY PROBE (E175 TU2&3);Embraer 190;1;EA;AR
020-240-014;FUEL QUANTITY PROBE (E175 TU2&3);Embraer 190;1;EA;AR
020-240-014;FUEL QUANTITY PROBE (E175 TU2&3);Embraer 190;1;EA;AR
020-240-014;FUEL QUANTITY PROBE (E175 TU2&3);Embraer 190;1;EA;AR
020-240-014;FUEL QUANTITY PROBE (E175 TU2&3);Embraer 190;1;EA;AR
020-240-014;FUEL QUANTITY PROBE (E175 TU2&3);Embraer 190;1;EA;AR
020-240-014;FUEL QUANTITY PROBE (E175 TU2&3);Embraer 190;1;EA;AR
020-240-014;FUEL QUANTITY PROBE (E175 TU2&3);Embraer 190;1;EA;AR
020-240-106;FUEL QUANTITY PROBE (E175 TU9) (E190 TU13);Embraer 190;1;EA;AR
020-240-106;FUEL QUANTITY PROBE (E175 TU9) (E190 TU13);Embraer 190;1;EA;AR
020-240-106;FUEL QUANTITY PROBE (E175 TU9) (E190 TU13);Embraer 190;1;EA;AR
020-240-106;FUEL QUANTITY PROBE (E175 TU9) (E190 TU13);Embraer 190;1;EA;AR
021-056-002;PROBE-FUEL QUANTITY (E190 TU1/ CMP);Embraer 190;1;EA;AR
021-056-002;PROBE-FUEL QUANTITY (E190 TU1/ CMP);Embraer 190;1;EA;AR
021-056-002;PROBE-FUEL QUANTITY (E190 TU1/ CMP);Embraer 190;1;EA;AR
021-056-002;PROBE-FUEL QUANTITY (E190 TU1/ CMP);Embraer 190;1;EA;AR
0218-0032-7;VALVE;Embraer 190;1;EA;AR
0218-0032-7;VALVE;Embraer 190;1;EA;AR
057-023-001;FUEL LOW LEVEL SENSOR;Embraer 190;1;EA;AR
057-023-001;FUEL LOW LEVEL SENSOR;Embraer 190;1;EA;AR
057-023-001;FUEL LOW LEVEL SENSOR;Embraer 190;1;EA;AR
057-023-001;FUEL LOW LEVEL SENSOR;Embraer 190;1;EA;AR
064-01072-0101;HF POWER AMPLIFIER;Embraer 190;1;EA;AR
064-01072-0101;HF POWER AMPLIFIER;Embraer 190;1;EA;SV
064-01073-0102;KRX1053 HF COMM TRANSCEIVER W/SELCA;Embraer 190;1;EA;SV
064-01073-0102;KRX1053 HF COMM TRANSCEIVER W/SELCA;Embraer 190;1;EA;SV
066-01127-1402;TRA-67A TRANSPONDER MODE S;A320;1;EA;SV
066-01153-4001;RADAR ALTIMETER;Embraer 190;1;EA;SV
066-01153-4001;RADAR ALTIMETER;Embraer 190;1;EA;SV
066-01153-4001;RADAR ALTIMETER;Embraer 190;1;EA;AR
066-01153-4001;RADAR ALTIMETER;Embraer 190;1;EA;AR
071-00097-0100;WXR RADAR CONFIG MODULE;Embraer 190;1;EA;AR
071-00097-0100;WXR RADAR CONFIG MODULE;Embraer 190;1;EA;AR
0711480-003;VALVE, SHUTOFF;A319;1;EA;AR
0711480-003;VALVE, SHUTOFF;A319;1;EA;SV
07323P000-01;BALL SCREW ASSY;B737-700;1;EA;AR
07323P000-01;BALL SCREW ASSY;B737-700;1;EA;AR
07324P000-01;BALL SCREW ASSY;B737-700;1;EA;AR
07324P000-01;BALL SCREW ASSY;B737-700;1;EA;SV
07594P000-01;BALLSCREW ASSEMBLY;Embraer 190;1;EA;AR
07594P000-01;BALLSCREW ASSEMBLY;Embraer 190;1;EA;AR
07594P000-01;BALLSCREW ASSEMBLY;Embraer 190;1;EA;AR
07594P000-01;BALLSCREW ASSEMBLY;Embraer 190;1;EA;AR
07595P000-01;FLAP ACTUATOR OFF TRACK #4;Embraer 190;1;EA;AR
07595P000-01;FLAP ACTUATOR OFF TRACK #4;Embraer 190;1;EA;AR
07595P000-01;FLAP ACTUATOR OFF TRACK #4;Embraer 190;1;EA;AR
07595P000-01;FLAP ACTUATOR OFF TRACK #4;Embraer 190;1;EA;AR
07595P000-01;FLAP ACTUATOR OFF TRACK #4;Embraer 190;1;EA;AR
07595P000-01;FLAP ACTUATOR OFF TRACK #4;Embraer 190;1;EA;AR
