AC_Type,MPN,DESIGNATION,ATA,CAPABILITY,PMA,DOA,DER,Code_OEM,Design_OEM
A320,0154GL5,T12 TEMPERATURE SENSOR,73,"EASA, FAA, CAAC",,,,F2276,AUXITROL
A320,01N65900,EMERG.LOCATOR TRANSMITTER,25,"EASA, FAA, CAAC",,,,F6614,ELTA
A320,01N65920,EMERG.LOCATOR TRANSMITTER,25,"EASA, FAA, CAAC",,,,F6614,ELTA
A320,064-50000-0202,VHF COM TRANSCEIVER,23,"EASA, FAA, CAAC",,,,97896,HONEYWELL
A320,064-50000-0505,"VHF COM TRANSCEIVER,RTA-4",23,"EASA, FAA, CAAC",,,,97896,HONEYWELL
A320,065-50001-0100,COMMAND SENSOR UNIT,27,"EASA, FAA",,,,,
A320,065-50001-0200,COMMAND SENSOR UNIT,27,"EASA, FAA",,,,D4829,DIEHL
A320,066-01127-1101,ATC MODE S-TRANSPONDEUR,34,"EASA, FAA, CAAC",,,,97896,HONEYWELL
A320,066-01127-1402,ATC MODE S TRANSPONDER,34,"EASA, FAA, CAAC",,,,97896,HONEYWELL
A320,066-50007-0202,TRANSCEIVER RADIO ALTI,34,"EASA, FAA",,,,97896,HONEYWELL
A320,066-50007-0212,TRANSCEIVER RADIO ALTI,34,"EASA, FAA, CAAC",,,,97896,HONEYWELL
A320,066-50007-0222,TRANSCEIVER-RADIO ALTIMTR,34,"EASA, FAA",,,,97896,HONEYWELL
A320,066-50007-0232,RADIOALTIMETER,34,"EASA, FAA",,,,97896,HONEYWELL
A320,066-50007-0432,RADIOALTIMETER,34,"EASA, FAA",,,,97896,HONEYWELL
A320,066-50008-0405,WEATHER RADAR TRANSCEIVER,34,"EASA, FAA",,,,97896,HONEYWELL
A320,066-50008-0407,WEATHER RADAR TRANSCEIVER,34,"EASA, FAA",,,,97896,HONEYWELL
A320,066-50008-0409,WEATHER RADAR TRANSCEIVER,34,"EASA, FAA",,,,97896,HONEYWELL
A320,066-50012-0202,"VOR/MARK. RECEIVER,RVA36B",34,"EASA, FAA, CAAC",,,,97896,HONEYWELL
A320,066-50012-0212,"VOR/MARK. RECEIVER,RVA36B",34,"EASA, FAA, CAAC",,,,97896,HONEYWELL
A320,066-50013-0202,DME INTERROGATOR,34,"EASA, FAA, CAAC",,,,97896,HONEYWELL
A320,066-50013-0232,DME INTERROGATOR,34,"EASA, FAA",,,,,
A320,066-50014-0202,"ADF RECEIVER,DFA-75B",34,"EASA, FAA, CAAC",,,,97896,HONEYWELL
A320,066-50029-1161,MULT.MOD.RECEIVER,34,"EASA, FAA, CAAC",,,,97896,HONEYWELL
A320,0861ED,PROBE ANGLE OF ATTACK,34,"EASA, FAA",,,,59885,ROSEMOUNT
A320,0871DP3,ICE DETECTOR,30,"EASA, FAA, CAAC",,,,59885,ROSEMOUNT
A320,0871DP4,ICE DETECTOR,30,"EASA, FAA, CAAC",,,,59885,ROSEMOUNT
A320,0871DP5-1,ICE DETECTOR,30,"EASA, FAA",,,,59885,ROSEMOUNT
A320,088256-04644,BRAKE ACCUMULATOR,32,"EASA, FAA",,,,F1801,OLAER INDUST
A320,1058-34,TYRE PRESS INDICATOR UNIT,32,"EASA, FAA",,,,F6137,MESSIER
A320,106-1-1100-02,ACTUATOR,49,"EASA, FAA",,X,X,D2638,ELEKTRO-MET
A320,1070C0000-01,ACTUATOR FLAP 1RH,27,"EASA, FAA",,,,K0377,GOODRICH
A320,1070C0000-02,ACTUATOR-FLAP N�1 RH,27,"EASA, FAA",,,,K0377,GOODRICH
A320,1071B0000-02,ACTUATOR FLAP 1LH,27,"EASA, FAA",,,,K0377,GOODRICH
A320,1071B0000-04,ACTUATOR FLAP 1LH,27,"EASA, FAA",,,,K0377,GOODRICH
A320,1071C0000-01,ACTUATOR FLAP 1LH,27,"EASA, FAA",,,,K0377,GOODRICH
A320,1071C0000-02,ACTUATOR-FLAP N�1 LH,27,"EASA, FAA",,,,K0377,GOODRICH
A320,1072A0000-04,"ACTUATOR-FLAP,N�2",27,"EASA, FAA",,,,K0377,GOODRICH
A320,1072D0000-01,ACTUATOR FLAP N�2,27,"EASA, FAA",,,,K0377,GOODRICH
A320,1072D0000-02,ACTUATOR-FLAP N�2,27,"EASA, FAA",,,,K0377,GOODRICH
