Page,Row,Country,Airline,registration,type of aircraft,cn/fn,exreg,mfd,del,QT,Powered by,mtow kg,config,remarks,,,Head:,Email,WEB,TEL,C20,C30,RR,PT6A,C20R,ALL
3,3,Pakistan,Government / Corporate / Executive / VIP,o SIX-050,AgustaWestland AW139,31248,,0509,0509,2,PWC PT6C-67C,6400,VIP,opb Pakistan Army,#REF!,X,,,,,,,,,,
3,4,Pakistan,Government / Corporate / Executive / VIP,o SIX-051,AgustaWestland AW139,31249,,1009,1009,2,PWC PT6C-67C,6400,VIP,opb Pakistan Army,#REF!,.,,,,,,,,,,
3,5,Pakistan,Government / Corporate / Executive / VIP,o SIX-052,AgustaWestland AW139,31258,,1009,1009,2,PWC PT6C-67C,6400,VIP,opb Pakistan Army,#REF!,.,,,,,,,,,,
3,6,Pakistan,Government / Corporate / Executive / VIP,o SIX-053,AgustaWestland AW139,31261,,1009,1009,2,PWC PT6C-67C,6400,VIP,opb Pakistan Army,#REF!,.,,,,,,,,,,
3,7,Pakistan,Government / Corporate / Executive / VIP,o SIX-054,AgustaWestland AW139,31263,,1009,1009,2,PWC PT6C-67C,6400,VIP,opb Pakistan Army,#REF!,.,,,,,,,,,,
3,8,Pakistan,Government / Corporate / Executive / VIP,o J-757,Airbus A310-304,473,AP-OOI,0189,1209,2,GE CF6-80C2A2,153000,VIP,opb Pakistan Air Force,#REF!,.,,,,,,,,,,
3,9,Pakistan,Government / Corporate / Executive / VIP,o 927,Beechcraft King Air B200,BB-927,N18262,0981,0692,2,PWC PT6A-42,5670,VIP,opb Pakistan Army,#REF!,.,,,,,,,,2,,2
3,10,Pakistan,Government / Corporate / Executive / VIP,o 0233,Cessna 560 Citation V,560-0233,,1193,1293,2,PWC JT15D,7212,VIP,opb Pakistan Army,#REF!,.,,,,,,,,,,
3,11,Pakistan,Government / Corporate / Executive / VIP,o J-754,Cessna 560XL Citation Excel,560-5004,N504BM,0998,0904,2,PWC PW545A,9071,VIP,opb Pakistan Air Force,#REF!,.,,,,,,,,,,
3,12,Pakistan,Government / Corporate / Executive / VIP,o J-753,Dassault Falcon 20E,277,,1272,1272,2,GE CF700-2D2,13000,VIP,opb Pakistan Air Force,#REF!,.,,,,,,,,,,
3,13,Pakistan,Government / Corporate / Executive / VIP,o J-755,Gulfstream IV-SP,1325,N102FM,1297,1205,2,RR RB183 Tay 611-8,33837,VIP,opb Pakistan Air Force,#REF!,.,,,,,,,,,,
3,14,Pakistan,Government / Corporate / Executive / VIP,o J-756,Gulfstream G450 (GIV-X),4090,,1107,1107,2,RR RB183 Tay 611-8,33520,VIP,opb Pakistan Air Force,#REF!,.,,,,,,,,,,
3,15,Pakistan,Government / Corporate / Executive / VIP,o 05-054,Indonesian Aerospace CN-235-220,N054,,0605,0605,2,GE CT7-9C,16500,VIP,opb Pakistan Air Force,#REF!,.,,,,,,,,,,
3,16,Pakistan,Air Indus,Air Indus,,,,,,,,,,,#REF!,X,,,www.airindus.com.pk/,,,,,,,
3,17,Pakistan,Air Indus,"PO Box 12476, Karachi 75500, Pakistan",,,,,,,,,,,#REF!,.,,,www.airindus.com.pk/,,,,,,,
3,18,Pakistan,Air Indus,F: 2009    Web: www.airindus.com.pk/,,,,,,,,,,,#REF!,.,,,www.airindus.com.pk/,,,,,,,
3,19,Pakistan,Air Indus,o AP-,Boeing 737-33A,27469 / 2864,N901AS,0397,0313,2,CFM CFM56-3C1,61234,C16Y100,Stored,#REF!,.,,,www.airindus.com.pk/,,,,,,,
3,20,Pakistan,Air Indus,o AP-,Boeing 737-33A,27910 / 2873,N902AS,0397,0313,2,CFM CFM56-3C1,61234,C16Y100,Stored,#REF!,.,,,www.airindus.com.pk/,,,,,,,
3,21,Pakistan,Airblue  = ED / ABQ,Airblue  = ED / ABQ,,,,,,,,,,,#REF!,X,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,22,Pakistan,Airblue  = ED / ABQ,"12th Floor, ISE Towers, Islamabad, Pakistan",Tel: +92 21 3460 1126,Fax: +92 51 280 0173 Email: Writetous@airblue.com,,,,,,,,,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,23,Pakistan,Airblue  = ED / ABQ,Head: Mr Tariq Chaudhary,IATA: 484 ICAO: PAKBLUE Web: www.airblue.com,,,,,,,,,,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,24,Pakistan,Airblue  = ED / ABQ,"services to  Abu Dhabi, Dubai, Istanbul, Manchester, Muscat and  Sharjah.",,,,,,,,,,,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,25,Pakistan,Airblue  = ED / ABQ,o AP-BIE,Airbus A319-112,3385,EI-DZY,0208,0808,2,CFM CFM56-5B6,75500,Y144,,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,26,Pakistan,Airblue  = ED / ABQ,o AP-BIF,Airbus A319-112,3388,EI-DZZ,0108,0808,2,CFM CFM56-5B6,75500,Y144,,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,27,Pakistan,Airblue  = ED / ABQ,o AP-EDB,Airbus A319-111,3364,D-AHIH,0108,1210,2,CFM CFM56-5B5,68000,Y150,,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,28,Pakistan,Airblue  = ED / ABQ,o AP-EDC,Airbus A319-111,3403,D-AHII,0208,1210,2,CFM CFM56-5B5,70000,Y150,,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,29,Pakistan,Airblue  = ED / ABQ,o AP-EDA,Airbus A320-214,3974,,0710,1210,2,CFM CFM56-5B4,77000,Y158,,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,30,Pakistan,Airblue  = ED / ABQ,o AP-EDD,Airbus A320-214,1467,EI-CVD,0301,0812,2,CFM CFM56-5B4,73500,Y174,,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,31,Pakistan,Airblue  = ED / ABQ,o ,Airbus A320-214 (w),,,,,2,CFM CFM56-5B4,78000,Passenger,On Order - Due 2013,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,32,Pakistan,Airblue  = ED / ABQ,o ,Airbus A320-214 (w),,,,,2,CFM CFM56-5B4,73500,Passenger,On Order - Due 2014,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,33,Pakistan,Airblue  = ED / ABQ,o AP-EDE,Airbus A340-313X,216,EI-ETY,0498,1112,4,CFM CFM56-5C4,275000,C24Y252,,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,34,Pakistan,Airblue  = ED / ABQ,o AP-EDF,Airbus A340-313X,257,TC-JIK,0199,0912,4,CFM CFM56-5C4,275000,C24Y252,,#REF!,.,Mr Tariq Chaudhary            ,Writetous@airblue.com       ,www.airblue.com,+92 21 3460 1126    ,,,,,,
3,35,Pakistan,Aircraft Sales & Services  = ACS,Aircraft Sales & Services  = ACS,,,,,,,,,,,#REF!,X,Mr Yusuf Jaffer               ,assl@cyber.net.pk       ,www.asslpk.com,+92 21 34598536     ,,,,,,
3,36,Pakistan,Aircraft Sales & Services  = ACS,"301 Hamilton Hangar, General Aviation Area, Karachi 75200, Pakistan",,Tel: +92 21 34598536,Fax: +92 21 34598325,,Email: assl@cyber.net.pk,,,,,,#REF!,.,Mr Yusuf Jaffer               ,assl@cyber.net.pk       ,www.asslpk.com,+92 21 34598536     ,,,,,,
3,37,Pakistan,Aircraft Sales & Services  = ACS,F: 1972,ICAO: AIRCRAFT SALES Web: www.asslpk.com,,,,,,,,,,#REF!,.,Mr Yusuf Jaffer               ,assl@cyber.net.pk       ,www.asslpk.com,+92 21 34598536     ,,,,,,
3,38,Pakistan,Aircraft Sales & Services  = ACS,flights.,,,,,,,,,,,#REF!,.,Mr Yusuf Jaffer               ,assl@cyber.net.pk       ,www.asslpk.com,+92 21 34598536     ,,,,,,
3,39,Pakistan,Aircraft Sales & Services  = ACS,o AP-BGH,Beechcraft 1900C-1,UC-165,N55456,0791,0703,2,PWC PT6A-65B,7530,Y19,,#REF!,.,Mr Yusuf Jaffer               ,assl@cyber.net.pk       ,www.asslpk.com,+92 21 34598536     ,,,,2,,2
3,40,Pakistan,Aircraft Sales & Services  = ACS,o AP-BII,Beechcraft 1900D,UE-45,N45UE,0593,0109,2,PWC PT6A-67D,7765,Y19,,#REF!,.,Mr Yusuf Jaffer               ,assl@cyber.net.pk       ,www.asslpk.com,+92 21 34598536     ,,,,2,,2
3,41,Pakistan,Aircraft Sales & Services  = ACS,o AP-BHZ,Fokker F.27-500,10686,D-ADUP,0286,1106,2,RR Dart 552-7R,20820,Y50,Stored,#REF!,.,Mr Yusuf Jaffer               ,assl@cyber.net.pk       ,www.asslpk.com,+92 21 34598536     ,,,,,,
