Fld_Company_ID;Company_Old_Id;Fld_Company_Name;Fld_Company_Rating_ID;delete
4787;;---Enter Company Name---;;FAUX
4932;;Aeromotores;;FAUX
5133;;Jones Airways;;FAUX
5019;;L & H Trading GmbH;;FAUX
5124;;Skypac Parts & Supply LLC;;FAUX
4059;;1 Source Aero Services S.A.;;FAUX
4169;;12 Apostles Helicopters;;FAUX
1839;1646597713;1st Clas Air Services;;FAUX
4553;;3 Gen Avion Trading;;FAUX
3185;;3 Points Aviation;;FAUX
3713;;328 SUPPORT Services;;FAUX
655;1223;3M France;;FAUX
4037;;748 AIR SERVICES (AIS Kenya);;FAUX
3778;;A & C Aerospace;;FAUX
4327;;A & E PARTS;;FAUX
4333;;A & S Int'L Supply, Inc.;;FAUX
4070;;A I S Aviation;;FAUX
1783;1283;A PRO (Aero-Precision );;FAUX
3920;;A Soriano Aviation;;FAUX
4499;;A&B Aviation Support;;FAUX
4273;;A&M Aerospace, Inc.;;FAUX
1172;1014795426;A&M Avionics Support;;FAUX
2080;;A. BIDERMAN (MF);;FAUX
4978;;A. Y. C. Aviation Inc.;;FAUX
4822;;A.D. Consultants Ltd;;FAUX
678;216395854;A.I.R.S.- Aviation Instruments Repair Specialists;;FAUX
1526;1200;A.I.R.S. INC;;FAUX
4532;;A.J Levin;;FAUX
2169;;A/C ELECTRICAL ELECTRONICS (MF);;FAUX
1543;989923352;A/C INSTRUMENT & RADIO;;FAUX
1587;822593895;A/C PARTS SUPPT IN'L;;FAUX
625;1638;A/C SUPPLIER;;FAUX
691;314587450;A2 GROUP Inc;;FAUX
4815;;A2C Air Cost Control;;FAUX
3626;;AAA Aeronautical Exchange;;FAUX
4486;;aaa aviation india pvt ltd;;FAUX
1923;450001651;AAIC;;FAUX
3905;;Aaim aviation;;FAUX
3991;;AAO Global Commerse;;FAUX
3715;;AAPS Aerospace;;FAUX
1913;1619;AAR - UK;;FAUX
806;998;AAR ACS Amsterdam;;FAUX
83;2136405148;AAR Aircraft & Turbine Center;;FAUX
