Fld_Linked_ID;Fld_Company_ID;Company_Old_Id;Fld_Company_Type_ID;Fld_Company_Country;Fld_Company_City;Fld_Company_State;Fld_Company_Street;Fld_Company_ZipCode;Fld_Company_Fax;Fld_Company_Phone;Fld_Company_Email;Fld_Company_Score;Fld_Company_BAX_Contact;Fld_Remark;Fld_VAT_Nbr;Fld_Date_Of_First_Contact;Fld_Company_Address_Type
5734;3527;;;USA;Blytheville;AR;2305 Texas Street;72315;;;;;;;;;3
5733;5197;;2;Serbia;Surcin;;Belgrade Airport;11180;381 (11) 319 5979;381 (11) 3194-097;;;7;;;;3
5732;5196;;3;;;;;;231;231-769-2442;;;;;;;
5731;5195;;4;;;;;;45-325-00704;45-32500603;;;;;;;
5730;377;;;Sweden;Stockholm Arlanda;;"Cargo City; Linhangaren";SE-190 46;;;;;;;SE556228636801;;8
5729;5194;;2;;;;;;47-74804019;47-48313000;;;;"BAE Jetstream 3100
BAE Jetstream 3200";;;
5728;5190;;4;;;;;;954) 653-1530;954) 376-3765;;;;;;;
5727;5189;;4;;;;;;772-461-6952;772-464-0088;;;;;;;
5726;5188;;4;;;;;;425-527-6990;425-449-2662;;;;;;;
5725;1885;;;Brazil;São Paulo - SP;;R. Gal. Pantaleão Teles, nº 210;04355-040;;;;;;;;;2
5724;;;4;;;;;;;;;;;;;;
5723;3038;;;Philippines;Domestic Road,;Pasay City;"c/o Warlito Cudal
8006 Airline Operations Center";1301;;;;;;;;;12
5722;5187;;6;;;;;;616-977-6887;616-285-4279;;;;;;;
5721;5186;;1;;;;;;1-800-797-3445;1-800-440-9004;;;;DIST Honeywell Exch;;;
5720;2573;;;USA;Seattle;WA;2811 South 102nd Street;98168;206 674 8652;206 575 0920;;;;;;;12
5719;2234;;4;USA;Bakersfield;CA;1810 Oak Street;93301-3008;;;;;;;;;3
5718;5185;;4;;;;;;901.302.9278;901.255.2623;;;;;;;
5717;5184;;1;Germany;;Bremen;;;49-421-2436974;49-421-24289376;;;;;;;
5716;5183;;1;;;;;;972-3-778242;972-3-9353904;;;;;;;
5715;5182;;2;United States;;;;;1-9544278407;1-9544278405;;;17;;;;
5714;5181;;1;;;;;;1-305-592-7295;1-305-592-2625;;;;;;;
5713;5061;;2;New Zealand;;;;;;;;;3;Eagle Air is a wholly owned subsidiary of Air New Zealand;;;
5712;5180;;5;;;;;;1-425-251-4664;1-425-251-;;;;ex volvo;;;
5711;1305;;;USA;Fort Lauderdale;FL;"1100 NW 51st Court
Fort Lauderdale Executive Airport";33309;954-377-0300;954-377-0320;;;;;;;12
5710;5179;;8;Singapore;;;;;0;0;;;;;;;
5709;5178;;3;;;;;;419-867-4223;419-866-2235;;;;;;;
5708;941;;;USA;Lewisville;TX;107 Hillside Drive;75057;;;;;;;;;12
5707;922;;;USA;Joplin;;PO Box 2367;MO 64803;;;;;;;;;2
5706;5177;;2;France;Roissy CDG Cedex;;Continental Square II,Batimen 3 place de Berlin BP 13760;95727;0;0;;;14;;;;3
5705;5176;;4;;;;;;0;0;;;;;;;
5704;5175;;3;;;;;;305 971-2411;305 971-2413;;;;;;;
5703;5174;;2;Denmark;;;;;0;0;;4;7;;DK33473516;;
5702;962;;6;UK;Farnborough;Hants;Warwick House, PO Box 87, Farnborough Aero Ctr;GU14 6YU;;;;;;;;;12
5701;1273;;6;UK;Basingstoke;;Edison Rd;RG21 6QD;44-1256-722-201;44 1256 722 200;;4;;;;;5
5700;5173;;4;;;;;;31;31 (0)85 8783298;;;;;;;
5699;5172;;4;United Kingdom;;;;;+33 (0) 5 61158849;+33 5 6115 8805;;;6;;;;
5698;5171;;2;Nicaragua;;Managua;Nacional Flight, Internacional Airport. KM 10.5 North Highway;;+(505) 2263-1281;+(505) 2263-2142 /43/44;;;6;;;;
5697;5170;;4;;;;;;1 443 841 4094;1 443 841 4094;;;;;;;
5696;5169;;1;HUNGARY;;;;;0;0;;;7;;;;
5695;5135;;1;France;MAUGUIO;;Latécoère aéroservices Aéroport de Montpellier Méditerrannée;34130;;;;;;;;;12
5694;1037;;;Serbia;Surcin;;A/P “Belgrade”;11180;;;;;;;;;12
5693;5168;;3;;;;;;1-631-567-2492;1-631-567-2345;;;;;;;
5692;5135;;;France;Mauguio;;"Montpellier Technical Center Aeroport de Montpellier
Meditérranée,";34130;;;;;;Montpellier Technical Center;;;12
5691;5167;;4;SOUTH Africa;;;;;27-86-696 3376;27-11-972-2900;;;;;;;
5690;5166;;4;;;;;;954 333 3575;954 789 8517;;;;;;;
5689;5165;;3;;;;;;0;0;;;;;;;
5688;1753;;;FRANCE;RD 317 - CD 9;VILLERON;"ANTAVIA chez Aertec
Lieu de la sucrerie";95380;;;;;;;;;5
5687;59;;;USA;Irving;TX;"222 West Las Colinas Boulevard
Suite 875-East";75039;972 556 9625;972 813 1172;;;;;;;9
5686;5164;;2;Senegal;;;;;0;0;;;7;;;;
5685;377;;;Sweden;VISBY;;"Technical Department
Gotlandsflyg Visby Flygplats";621 41;;;;;;;;;12
5684;5059;;;France;L’Orée du parc;Fréjus;93 Allée du Phoenix;83600;04 9444 4730;04 9444 4113;;;;;;;9
5683;5163;;9;;;;;;44 01392 203865;44 01392 203865;;;;;;;
5682;5162;;5;;;;5 rue Geoffroy Marie 75009 Paris;;01.77.62.47.61;01.77.69.59.44;;;;06.80.37.47.67;;;
5681;5161;;4;;;;;;405-603-2958;205-567-0936;;;;;;;
5680;2526;;1;;;;;;;;;;;FIRE EXTING;;;
5679;4898;;2;;;;;;;;;;;;;;
5678;5117;;2;;;;;;;;;;;;;;
5677;3332;;2;;;;;;;;;;;;;;
5676;5160;;3;USA;Muskegon;MI;620 E. Ellis Road;49441;231-799-9901;231-799-9000;;;;;;;3
5675;1442;;;USA;Plantation;FL;1210 South Pine Island Road 4th Floor;33324;;;;;;;;;9
5674;5159;;3;;;;;;305-625-1055;305-625-1006;;;;;;;
5673;1498;;;Vietnam;"Long Bien Dist'; HANOI";;"AIRIMEX; 414 NGUYEN VAN CU STR";;+84 (0) 43827 1925;+84 (0) 43827 1351;;;;;;;2
5672;1498;;;Vietnam;"Tan Binh Dist'; Ho Chi Minh City";;"AIRIMEX BRANCH; RO.408, 4th FL; 49 TRUONGSON ST'";;+84 8 3848 8772;+84 8 3848 8773;;;;;;;3
5670;5158;;4;United Arab Emirates;;;;;00;00;;;;;;;
5669;29;;;Australia;Narrabeen;N.S.W;PO Box 483;2101;;;;;;;;;2
5668;1622;;;Germany;Waldstarsse 255;Koln;Hotel Holiday INN Koln-Bonn Airport;51147;;;;;;;;;12
5667;2378;;1;;;;;;;;;;;;;;
5666;5157;;2;Sweden;Bromma;;Gårdsfogdev. 7;168 66;46 8 764 48 00;46 8 120 212 00;;;;http://www.avitrans.se;;;3
5665;5156;;1;;;;;;1-305-826-4348;1-786-275-3890;;;;;;;
5664;5155;;1;;;;;;1-954-522-2330;1-954-522-2242;;;;;;;
